aggregated_bs_id,type,n_base_stations,lng,lat
410,AGGREGATED,2,9.1365051269531,45.390701293945
411,AGGREGATED,4,9.1391886044922,45.391359219726496
412,AGGREGATED,2,9.141858,45.3906715
413,AGGREGATED,3,9.144752742513033,45.39161686165367
414,AGGREGATED,6,9.148079168457016,45.39192545914717
415,AGGREGATED,8,9.1509617130127,45.39182957922362
416,AGGREGATED,3,9.154651333333334,45.39081566666666
417,AGGREGATED,2,9.1564178466797,45.390701293945
418,AGGREGATED,3,9.159023333333332,45.39131133333333
419,LTE,1,9.1605377197266,45.393447875977
420,LTE,1,9.166643,45.389726
421,LTE,1,9.16858,45.392523
422,LTE,1,9.173316,45.392534
423,AGGREGATED,2,9.1749494604492,45.3913956469725
424,AGGREGATED,2,9.177774105957049,45.3919417924805
425,LTE,1,9.178531,45.391809
426,LTE,1,9.1852569580078,45.392074584961
427,AGGREGATED,3,9.187586513346366,45.39099476464833
428,AGGREGATED,2,9.19036106103515,45.3907171469725
429,AGGREGATED,7,9.193424033482144,45.39077502511143
430,AGGREGATED,7,9.1962539797712,45.39100959612157
431,AGGREGATED,12,9.199584138671884,45.39117758789049
432,AGGREGATED,4,9.202445047851551,45.3913434697265
433,AGGREGATED,2,9.2050496616211,45.3913342924805
434,AGGREGATED,6,9.207678022298166,45.390995313639166
435,AGGREGATED,3,9.2106082278646,45.39062652929667
436,AGGREGATED,2,9.2127227783203,45.390701293945
437,LTE,1,9.215584,45.389442
438,LTE,1,9.2195892333984,45.38932800293
439,LTE,1,9.228438,45.393965
440,LTE,1,9.2525482177734,45.393447875977
441,AGGREGATED,2,9.2559814453125,45.390701293945
442,LTE,1,9.2607879638672,45.390701293945
443,AGGREGATED,7,9.261888924804683,45.391194881835865
444,LTE,1,9.2662811279297,45.390701293945
445,LTE,1,9.280307,45.395145
446,LTE,1,9.2910003662109,45.390701293945
447,AGGREGATED,3,9.2920201220703,45.39104309798167
448,LTE,1,9.29306,45.392075
449,LTE,1,9.2978668212891,45.392074584961
450,LTE,1,9.3006134033203,45.390701293945
451,LTE,1,9.3033599853516,45.392074584961
452,LTE,1,9.1124725341797,45.400314331055
453,LTE,1,9.1303253173828,45.394821166992
454,LTE,1,9.1358184814453,45.393447875977
455,AGGREGATED,4,9.13890825,45.39382225
456,AGGREGATED,6,9.142117833333332,45.393930000000005
457,AGGREGATED,3,9.144517582031266,45.39334125065133
458,AGGREGATED,2,9.14679090478515,45.3931954379885
459,AGGREGATED,3,9.151270666666669,45.39361
460,LTE,1,9.152126,45.394049
461,LTE,1,9.159265,45.391994
462,LTE,1,9.176515,45.392796
463,LTE,1,9.180846,45.394322
464,LTE,1,9.1852569580078,45.394821166992
465,LTE,1,9.1934967041016,45.393447875977
466,LTE,1,9.198396,45.39226
467,LTE,1,9.2017364501953,45.392074584961
468,LTE,1,9.205145,45.394211
469,LTE,1,9.2072296142578,45.393447875977
470,LTE,1,9.211644,45.393154
471,LTE,1,9.2182159423828,45.396194458008
