type,lng,lat,cellId,distance,n_base_stations,aggregated_bs_id
AGGREGATED,9.2169454718192,45.46554037137286,5169,0.0,7,2276
LTE,9.219217,45.465883,5170,0.0,1,2277
AGGREGATED,9.222944549107142,45.46531898688629,5171,0.0,7,2278
LTE,9.22637,45.46443,5172,0.0,1,2279
AGGREGATED,9.229696853841133,45.466157099935,5173,0.0,3,2280
AGGREGATED,9.232297963134775,45.46566657495126,5174,0.0,4,2281
AGGREGATED,9.23590028691406,45.4648094017578,5175,0.0,5,2282
AGGREGATED,9.237939174967465,45.46533983772784,5176,0.0,6,2283
LTE,9.24139,45.465031,5177,0.0,1,2284
LTE,9.245874,45.464839,5178,0.0,1,2285
LTE,9.2484283447266,45.464859008789,5179,0.0,1,2286
AGGREGATED,9.250980037635214,45.465227463566684,5180,0.0,13,2287
AGGREGATED,9.252611405924467,45.46570155143234,5181,0.0,6,2288
LTE,9.255447,45.463836,5182,0.19950228714128254,1,2289
LTE,9.259186,45.466919,5183,0.15314110972045383,1,2290
AGGREGATED,9.261861,45.4648155,5184,0.0,2,2291
LTE,9.2676544189453,45.464859008789,5185,0.20337878754849084,1,2292
AGGREGATED,9.2683410644531,45.465545654297,5186,0.0,2,2293
LTE,9.269858,45.464245,5187,0.17753076754805272,1,2219
LTE,9.27424,45.466469,5188,0.10698997739288789,1,2294
AGGREGATED,9.277844582356765,45.464648002929664,5189,0.0,3,2295
AGGREGATED,9.280147815234361,45.465366061718804,5190,0.0,5,2296
AGGREGATED,9.2841339111328,45.466232299805,5191,0.0,2,2297
AGGREGATED,9.28619374658205,45.4646950043945,5192,0.0,2,2298
LTE,9.2868804931641,45.464859008789,5193,0.19875957242433293,1,2225
LTE,9.2951202392578,45.466232299805,5194,0.23734312882713635,1,2226
LTE,9.2951202392578,45.466232299805,5195,0.0,1,2226
LTE,9.3006134033203,45.466232299805,5196,0.2008791663731433,1,2299
LTE,9.3006134033203,45.466232299805,5197,0.0,1,2299
LTE,9.30336,45.465202,5198,0.0,1,2300
LTE,9.3074798583984,45.463485717773,5199,0.21577395024457324,1,2227
LTE,9.3074798583984,45.463485717773,5200,0.30821028304443415,1,2227
LTE,9.0149688720703,45.473098754883,5201,0.5988043644794202,1,2301
LTE,9.0149688720703,45.473098754883,5202,0.5754930048147686,1,2301
LTE,9.023483,45.469528,5203,0.41021979092384103,1,2302
LTE,9.023483,45.469528,5204,0.2222869859063542,1,2302
LTE,9.0259552001953,45.468978881836,5205,0.14864307583930883,1,2228
LTE,9.0259552001953,45.468978881836,5206,0.18072268190574525,1,2228
LTE,9.033773,45.469852,5207,0.31673557818737674,1,2303
LTE,9.035631,45.467793,5208,0.14695388427924014,1,2229
LTE,9.035631,45.467793,5209,0.0,1,2229
LTE,9.038162,45.4702,5210,0.2804702077624398,1,2304
LTE,9.043707,45.467793,5211,0.0,1,2230
LTE,9.043707,45.467793,5212,0.16282824260687015,1,2230
LTE,9.043707,45.467793,5213,0.3967539377506128,1,2230
LTE,9.057149,45.469567,5214,0.45492416788177265,1,2231
LTE,9.057149,45.469567,5215,0.25744195995259916,1,2231
LTE,9.057149,45.469567,5216,0.18844804647162958,1,2231
LTE,9.0616607666016,45.468978881836,5217,0.1334802155148062,1,2305
LTE,9.0616607666016,45.468978881836,5218,0.20470369224913934,1,2305
LTE,9.0644073486328,45.464859008789,5219,0.39034466666998163,1,2153
LTE,9.0699005126953,45.464859008789,5220,0.34151475032750794,1,2154
LTE,9.0753936767578,45.46760559082,5221,0.20233095580838906,1,2306
AGGREGATED,9.076645919189449,45.467386147705,5222,0.0,4,2307
AGGREGATED,9.078225752929699,45.46770153027333,5223,0.0,3,2308
LTE,9.081745,45.467079,5224,0.0,1,2234
LTE,9.0863800048828,45.46760559082,5225,0.0,1,2309
LTE,9.0863800048828,45.46760559082,5226,0.1213550802249925,1,2309
LTE,9.0904998779297,45.468978881836,5227,0.12189031106820664,1,2310
LTE,9.095535,45.467606,5228,0.0,1,2311
LTE,9.0959930419922,45.46760559082,5229,0.0,1,2312
AGGREGATED,9.09942626953125,45.46760559082,5230,0.0,2,2313
LTE,9.1014862060547,45.468978881836,5231,0.16265146298223765,1,2314
LTE,9.1056060791016,45.468978881836,5232,0.12202153156067094,1,2315
LTE,9.1069793701172,45.468978881836,5233,0.1928403618614016,1,2316
LTE,9.112421,45.468448,5234,0.0,1,2317
LTE,9.1165924072266,45.46760559082,5235,0.0,1,2318
LTE,9.1165924072266,45.46760559082,5236,0.10926961818342641,1,2318
LTE,9.1220855712891,45.466232299805,5237,0.20457562789959394,1,2319
AGGREGATED,9.124292333333335,45.468405999999995,5238,0.0,3,2320
AGGREGATED,9.1266635,45.468292000000005,5239,0.0,2,2321
AGGREGATED,9.1302058359375,45.467668045409994,5240,0.0,4,2322
AGGREGATED,9.133758547607425,45.467832147705,5241,0.0,4,2323
AGGREGATED,9.136301466918937,45.467687721557496,5242,0.0,8,2324
AGGREGATED,9.139361599999997,45.467421,5243,0.0,5,2325
AGGREGATED,9.14232657460936,45.467181436328,5244,0.0,5,2326
AGGREGATED,9.145216172851567,45.467316196940004,5245,0.0,3,2327
AGGREGATED,9.147955888916012,45.467454045409994,5246,0.0,8,2328
AGGREGATED,9.151772628472223,45.467768242404446,5247,0.0,9,2329
AGGREGATED,9.154174902901786,45.46737624023428,5248,0.0,14,2330
AGGREGATED,9.156672142857143,45.46799185714286,5249,0.0,7,2331
AGGREGATED,9.16030216666667,45.4679365,5250,0.0,12,2332
AGGREGATED,9.163905618164055,45.46751763219091,5251,0.0,11,2333
AGGREGATED,9.1662269630682,45.467608413174545,5252,0.0,11,2334
AGGREGATED,9.16993695947265,45.467394431803335,5253,0.0,6,2335
AGGREGATED,9.1726420444336,45.46728854541,5254,0.0,8,2336
AGGREGATED,9.175140833333334,45.46755199999999,5255,0.0,6,2337
AGGREGATED,9.178122215225892,45.46773293473999,5256,0.0,23,2338
AGGREGATED,9.182112791666668,45.46775200000001,5257,0.0,24,2339
AGGREGATED,9.18418769262695,45.46765629541001,5258,0.0,8,2340
AGGREGATED,9.186999136186072,45.46715610742182,5259,0.0,11,2341
AGGREGATED,9.190264637027136,45.46735682771368,5260,0.0,19,2342
AGGREGATED,9.193291911946607,45.467303530273334,5261,0.0,12,2343
AGGREGATED,9.196617009960933,45.467394184830674,5262,0.0,15,2344
AGGREGATED,9.19935977363282,45.467891118164,5263,0.0,5,2345
AGGREGATED,9.202220030013018,45.467420372721335,5264,0.0,15,2346
AGGREGATED,9.205667294053821,45.46760813129333,5265,0.0,9,2347
AGGREGATED,9.207695076782224,45.4676630738525,5266,0.0,8,2348
AGGREGATED,9.21112223925782,45.467701118164,5267,0.0,5,2349
AGGREGATED,9.214865,45.46778816666666,5268,0.0,6,2350
AGGREGATED,9.216850186104915,45.46781488309143,5269,0.0,7,2351
LTE,9.220845,45.467017,5270,0.0,1,2352
AGGREGATED,9.22383811111111,45.46776366666667,5271,0.0,9,2353
AGGREGATED,9.226177344238275,45.46729104541,5272,0.0,4,2354
AGGREGATED,9.2299615307617,45.46748979541,5273,0.0,4,2355
AGGREGATED,9.232430963134775,45.467996397705,5274,0.0,4,2356
AGGREGATED,9.2359075,45.468064,5275,0.0,2,2357
LTE,9.2388153076172,45.46760559082,5276,0.0,1,2358
AGGREGATED,9.2404145,45.468441,5277,0.0,2,2359
LTE,9.246994,45.468979,5278,0.2611733517604205,1,2360
AGGREGATED,9.247962114908866,45.46746819694,5279,0.0,3,2361
LTE,9.2484283447266,45.46760559082,5280,0.1388793398846108,1,2362
AGGREGATED,9.25279975,45.467823499999994,5281,0.0,4,2363
LTE,9.254173,45.467808,5282,0.16032850120959974,1,2364
LTE,9.259186,45.466919,5283,0.0,1,2290
LTE,9.259186,45.466919,5284,0.25099851021125985,1,2290
LTE,9.2690277099609,45.466232299805,5285,0.33465752416786193,1,2365
LTE,9.2690277099609,45.466232299805,5286,0.16767734198822756,1,2365
LTE,9.2690277099609,45.466232299805,5287,0.2327026364777836,1,2365
LTE,9.27424,45.466469,5288,0.0,1,2294
